,latitude,longitude,timestamp,value,measurement,retrieved_at
95,51.5,5.1,2025-07-20T20:00:00Z,18.7,t_2m:C,2025-07-21T20:03:02Z
96,51.5,5.1,2025-07-20T21:00:00Z,18.1,t_2m:C,2025-07-21T20:03:02Z
97,51.5,5.1,2025-07-20T22:00:00Z,17.8,t_2m:C,2025-07-21T20:03:02Z
98,51.5,5.1,2025-07-20T23:00:00Z,16.8,t_2m:C,2025-07-21T20:03:02Z
99,51.5,5.1,2025-07-21T00:00:00Z,16.6,t_2m:C,2025-07-21T20:03:02Z
100,51.5,5.3,2025-07-20T00:00:00Z,20.2,t_2m:C,2025-07-21T20:03:02Z
101,51.5,5.3,2025-07-20T01:00:00Z,19.2,t_2m:C,2025-07-21T20:03:02Z
102,51.5,5.3,2025-07-20T02:00:00Z,18.6,t_2m:C,2025-07-21T20:03:02Z
103,51.5,5.3,2025-07-20T03:00:00Z,18.3,t_2m:C,2025-07-21T20:03:02Z
104,51.5,5.3,2025-07-20T04:00:00Z,18.1,t_2m:C,2025-07-21T20:03:02Z
105,51.5,5.3,2025-07-20T05:00:00Z,18.6,t_2m:C,2025-07-21T20:03:02Z
106,51.5,5.3,2025-07-20T06:00:00Z,19.0,t_2m:C,2025-07-21T20:03:02Z
107,51.5,5.3,2025-07-20T07:00:00Z,19.2,t_2m:C,2025-07-21T20:03:02Z
108,51.5,5.3,2025-07-20T08:00:00Z,21.8,t_2m:C,2025-07-21T20:03:02Z
109,51.5,5.3,2025-07-20T09:00:00Z,23.9,t_2m:C,2025-07-21T20:03:02Z
110,51.5,5.3,2025-07-20T10:00:00Z,25.5,t_2m:C,2025-07-21T20:03:02Z
111,51.5,5.3,2025-07-20T11:00:00Z,26.7,t_2m:C,2025-07-21T20:03:02Z
112,51.5,5.3,2025-07-20T12:00:00Z,27.2,t_2m:C,2025-07-21T20:03:02Z
113,51.5,5.3,2025-07-20T13:00:00Z,25.2,t_2m:C,2025-07-21T20:03:02Z
114,51.5,5.3,2025-07-20T14:00:00Z,23.5,t_2m:C,2025-07-21T20:03:02Z
115,51.5,5.3,2025-07-20T15:00:00Z,20.4,t_2m:C,2025-07-21T20:03:02Z
116,51.5,5.3,2025-07-20T16:00:00Z,19.3,t_2m:C,2025-07-21T20:03:02Z
117,51.5,5.3,2025-07-20T17:00:00Z,20.6,t_2m:C,2025-07-21T20:03:02Z
118,51.5,5.3,2025-07-20T18:00:00Z,20.7,t_2m:C,2025-07-21T20:03:02Z
119,51.5,5.3,2025-07-20T19:00:00Z,20.0,t_2m:C,2025-07-21T20:03:02Z
120,51.5,5.3,2025-07-20T20:00:00Z,18.9,t_2m:C,2025-07-21T20:03:02Z
121,51.5,5.3,2025-07-20T21:00:00Z,18.2,t_2m:C,2025-07-21T20:03:02Z
122,51.5,5.3,2025-07-20T22:00:00Z,18.0,t_2m:C,2025-07-21T20:03:02Z
123,51.5,5.3,2025-07-20T23:00:00Z,17.2,t_2m:C,2025-07-21T20:03:02Z
124,51.5,5.3,2025-07-21T00:00:00Z,17.2,t_2m:C,2025-07-21T20:03:02Z
125,51.5,5.5,2025-07-20T00:00:00Z,20.2,t_2m:C,2025-07-21T20:03:02Z
126,51.5,5.5,2025-07-20T01:00:00Z,19.3,t_2m:C,2025-07-21T20:03:02Z
127,51.5,5.5,2025-07-20T02:00:00Z,18.7,t_2m:C,2025-07-21T20:03:02Z
128,51.5,5.5,2025-07-20T03:00:00Z,18.1,t_2m:C,2025-07-21T20:03:02Z
129,51.5,5.5,2025-07-20T04:00:00Z,18.1,t_2m:C,2025-07-21T20:03:02Z
130,51.5,5.5,2025-07-20T05:00:00Z,18.3,t_2m:C,2025-07-21T20:03:02Z
131,51.5,5.5,2025-07-20T06:00:00Z,18.7,t_2m:C,2025-07-21T20:03:02Z
132,51.5,5.5,2025-07-20T07:00:00Z,19.2,t_2m:C,2025-07-21T20:03:02Z
133,51.5,5.5,2025-07-20T08:00:00Z,21.5,t_2m:C,2025-07-21T20:03:02Z
134,51.5,5.5,2025-07-20T09:00:00Z,24.2,t_2m:C,2025-07-21T20:03:02Z
135,51.5,5.5,2025-07-20T10:00:00Z,25.9,t_2m:C,2025-07-21T20:03:02Z
136,51.5,5.5,2025-07-20T11:00:00Z,27.3,t_2m:C,2025-07-21T20:03:02Z
137,51.5,5.5,2025-07-20T12:00:00Z,27.8,t_2m:C,2025-07-21T20:03:02Z
138,51.5,5.5,2025-07-20T13:00:00Z,27.3,t_2m:C,2025-07-21T20:03:02Z
139,51.5,5.5,2025-07-20T14:00:00Z,25.2,t_2m:C,2025-07-21T20:03:02Z
140,51.5,5.5,2025-07-20T15:00:00Z,21.5,t_2m:C,2025-07-21T20:03:02Z
141,51.5,5.5,2025-07-20T16:00:00Z,19.7,t_2m:C,2025-07-21T20:03:02Z
142,51.5,5.5,2025-07-20T17:00:00Z,20.5,t_2m:C,2025-07-21T20:03:02Z
143,51.5,5.5,2025-07-20T18:00:00Z,20.8,t_2m:C,2025-07-21T20:03:02Z
144,51.5,5.5,2025-07-20T19:00:00Z,20.1,t_2m:C,2025-07-21T20:03:02Z
145,51.5,5.5,2025-07-20T20:00:00Z,19.2,t_2m:C,2025-07-21T20:03:02Z
146,51.5,5.5,2025-07-20T21:00:00Z,18.5,t_2m:C,2025-07-21T20:03:02Z
147,51.5,5.5,2025-07-20T22:00:00Z,18.2,t_2m:C,2025-07-21T20:03:02Z
148,51.5,5.5,2025-07-20T23:00:00Z,17.8,t_2m:C,2025-07-21T20:03:02Z
149,51.5,5.5,2025-07-21T00:00:00Z,17.6,t_2m:C,2025-07-21T20:03:02Z
150,51.7,4.5,2025-07-20T00:00:00Z,18.7,t_2m:C,2025-07-21T20:03:02Z
151,51.7,4.5,2025-07-20T01:00:00Z,18.2,t_2m:C,2025-07-21T20:03:02Z
152,51.7,4.5,2025-07-20T02:00:00Z,18.0,t_2m:C,2025-07-21T20:03:02Z
153,51.7,4.5,2025-07-20T03:00:00Z,18.0,t_2m:C,2025-07-21T20:03:02Z
154,51.7,4.5,2025-07-20T04:00:00Z,17.7,t_2m:C,2025-07-21T20:03:02Z
155,51.7,4.5,2025-07-20T05:00:00Z,18.4,t_2m:C,2025-07-21T20:03:02Z
156,51.7,4.5,2025-07-20T06:00:00Z,19.0,t_2m:C,2025-07-21T20:03:02Z
157,51.7,4.5,2025-07-20T07:00:00Z,19.2,t_2m:C,2025-07-21T20:03:02Z
158,51.7,4.5,2025-07-20T08:00:00Z,21.1,t_2m:C,2025-07-21T20:03:02Z
159,51.7,4.5,2025-07-20T09:00:00Z,22.9,t_2m:C,2025-07-21T20:03:02Z
160,51.7,4.5,2025-07-20T10:00:00Z,23.8,t_2m:C,2025-07-21T20:03:02Z
161,51.7,4.5,2025-07-20T11:00:00Z,24.8,t_2m:C,2025-07-21T20:03:02Z
162,51.7,4.5,2025-07-20T12:00:00Z,25.4,t_2m:C,2025-07-21T20:03:02Z
163,51.7,4.5,2025-07-20T13:00:00Z,22.4,t_2m:C,2025-07-21T20:03:02Z
164,51.7,4.5,2025-07-20T14:00:00Z,21.4,t_2m:C,2025-07-21T20:03:02Z
165,51.7,4.5,2025-07-20T15:00:00Z,20.1,t_2m:C,2025-07-21T20:03:02Z
166,51.7,4.5,2025-07-20T16:00:00Z,21.3,t_2m:C,2025-07-21T20:03:02Z
167,51.7,4.5,2025-07-20T17:00:00Z,21.5,t_2m:C,2025-07-21T20:03:02Z
168,51.7,4.5,2025-07-20T18:00:00Z,21.2,t_2m:C,2025-07-21T20:03:02Z
169,51.7,4.5,2025-07-20T19:00:00Z,20.1,t_2m:C,2025-07-21T20:03:02Z
170,51.7,4.5,2025-07-20T20:00:00Z,18.5,t_2m:C,2025-07-21T20:03:02Z
171,51.7,4.5,2025-07-20T21:00:00Z,17.9,t_2m:C,2025-07-21T20:03:02Z
172,51.7,4.5,2025-07-20T22:00:00Z,17.7,t_2m:C,2025-07-21T20:03:02Z
173,51.7,4.5,2025-07-20T23:00:00Z,17.1,t_2m:C,2025-07-21T20:03:02Z
174,51.7,4.5,2025-07-21T00:00:00Z,16.5,t_2m:C,2025-07-21T20:03:02Z
175,51.7,4.7,2025-07-20T00:00:00Z,18.9,t_2m:C,2025-07-21T20:03:02Z
