,latitude,longitude,timestamp,value,measurement,retrieved_at
73,51.5,4.9,2025-07-19T23:00:00Z,20.0,t_2m:C,2025-07-20T16:38:17Z
74,51.5,4.9,2025-07-20T00:00:00Z,19.2,t_2m:C,2025-07-20T16:38:17Z
75,51.5,5.1,2025-07-19T00:00:00Z,20.8,t_2m:C,2025-07-20T16:38:17Z
76,51.5,5.1,2025-07-19T01:00:00Z,19.2,t_2m:C,2025-07-20T16:38:17Z
77,51.5,5.1,2025-07-19T02:00:00Z,18.4,t_2m:C,2025-07-20T16:38:17Z
78,51.5,5.1,2025-07-19T03:00:00Z,17.8,t_2m:C,2025-07-20T16:38:17Z
79,51.5,5.1,2025-07-19T04:00:00Z,17.3,t_2m:C,2025-07-20T16:38:17Z
80,51.5,5.1,2025-07-19T05:00:00Z,18.1,t_2m:C,2025-07-20T16:38:17Z
81,51.5,5.1,2025-07-19T06:00:00Z,19.5,t_2m:C,2025-07-20T16:38:17Z
82,51.5,5.1,2025-07-19T07:00:00Z,22.2,t_2m:C,2025-07-20T16:38:17Z
83,51.5,5.1,2025-07-19T08:00:00Z,24.5,t_2m:C,2025-07-20T16:38:17Z
84,51.5,5.1,2025-07-19T09:00:00Z,26.4,t_2m:C,2025-07-20T16:38:17Z
85,51.5,5.1,2025-07-19T10:00:00Z,28.3,t_2m:C,2025-07-20T16:38:17Z
86,51.5,5.1,2025-07-19T11:00:00Z,29.9,t_2m:C,2025-07-20T16:38:17Z
87,51.5,5.1,2025-07-19T12:00:00Z,30.6,t_2m:C,2025-07-20T16:38:17Z
88,51.5,5.1,2025-07-19T13:00:00Z,30.8,t_2m:C,2025-07-20T16:38:17Z
89,51.5,5.1,2025-07-19T14:00:00Z,32.0,t_2m:C,2025-07-20T16:38:17Z
90,51.5,5.1,2025-07-19T15:00:00Z,30.3,t_2m:C,2025-07-20T16:38:17Z
91,51.5,5.1,2025-07-19T16:00:00Z,28.2,t_2m:C,2025-07-20T16:38:17Z
